epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4255,3.02535,3.6352,1.67065,0,0,0,0,2.8037,3.65708,1.69415,2e-05,2e-05,2e-05
2,24.4242,2.93419,3.61848,1.62587,0,0,0,0,2.56438,3.6338,1.51225,5.9406e-05,5.9406e-05,5.9406e-05
3,35.5801,2.67257,3.53244,1.47792,0.01167,0.05385,0.00633,0.00243,2.20311,3.59526,1.30084,9.802e-05,9.802e-05,9.802e-05
4,46.0305,2.32388,3.35398,1.38738,0.08875,0.40962,0.08595,0.03399,1.92164,3.46431,1.12503,0.000135842,0.000135842,0.000135842
5,57.3283,2.31491,3.16846,1.25026,0.15125,0.69808,0.17443,0.06819,1.87888,3.32187,1.06074,0.000172872,0.000172872,0.000172872
6,68.6379,2.18047,2.78572,1.18038,0.16167,0.74615,0.17084,0.07194,1.85679,3.18609,1.02718,0.00020911,0.00020911,0.00020911
7,79.8436,2.09257,2.38073,1.13624,0.165,0.76154,0.40652,0.18342,1.83196,3.03242,1.01585,0.000244556,0.000244556,0.000244556
8,91.2743,2.06866,2.02285,1.07284,0.17583,0.81154,0.65847,0.29349,1.8527,2.81306,1.01395,0.00027921,0.00027921,0.00027921
9,102.889,2.01332,1.67632,1.0574,0.17875,0.825,0.72044,0.29419,1.85825,2.74261,1.01382,0.000313072,0.000313072,0.000313072
10,114.059,1.94595,1.49224,1.03885,0.18458,0.85192,0.7716,0.3073,1.84903,2.65098,1.01169,0.000346142,0.000346142,0.000346142
11,125.52,1.98385,1.46397,1.02361,0.18417,0.85,0.78821,0.32289,1.83501,2.58932,1.01598,0.00037842,0.00037842,0.00037842
12,136.754,1.98834,1.30836,1.03651,0.19042,0.87885,0.80325,0.31422,1.81163,2.57866,1.02514,0.000409906,0.000409906,0.000409906
13,148.117,1.98574,1.26759,1.0556,0.18833,0.86923,0.78252,0.31713,1.86759,2.52785,1.0385,0.0004406,0.0004406,0.0004406
14,159.338,1.98154,1.20162,1.02988,0.24217,0.81346,0.76638,0.31762,1.97421,2.44487,1.06225,0.000470502,0.000470502,0.000470502
15,170.207,1.89837,1.11038,1.04009,0.90389,0.66917,0.76022,0.3105,1.98563,2.34477,1.06938,0.000499612,0.000499612,0.000499612
16,181.539,1.93362,1.11121,1.01219,0.94698,0.54952,0.76026,0.31151,1.91315,2.2256,1.05879,0.00052793,0.00052793,0.00052793
17,193.023,1.84298,1.07339,1.00974,0.96332,0.50511,0.7845,0.31981,1.87899,2.11817,1.05911,0.000555456,0.000555456,0.000555456
18,203.941,1.96974,1.05531,1.0852,0.9744,0.58556,0.80208,0.3466,1.88884,1.95146,1.05904,0.00058219,0.00058219,0.00058219
19,214.634,1.8623,1.01162,1.03723,0.96505,0.64615,0.8096,0.37235,1.9102,1.76518,1.05059,0.000608132,0.000608132,0.000608132
20,225.692,1.93314,1.00105,1.02841,0.93556,0.67004,0.80938,0.35886,1.9835,1.64924,1.07082,0.000633282,0.000633282,0.000633282
21,237.065,1.97865,1.01516,1.05444,0.88731,0.68077,0.80516,0.35287,2.00771,1.59315,1.08857,0.00065764,0.00065764,0.00065764
22,248.063,1.83362,0.97336,1.04575,0.90431,0.69808,0.81692,0.37836,1.92097,1.52303,1.06864,0.000681206,0.000681206,0.000681206
23,258.91,1.79795,0.93583,1.02509,0.92217,0.71923,0.82081,0.38807,1.84889,1.44629,1.04683,0.00070398,0.00070398,0.00070398
24,270.315,1.80328,0.93904,1.01792,0.92564,0.74231,0.83643,0.39413,1.86006,1.39954,1.057,0.000725962,0.000725962,0.000725962
25,282.178,1.85563,0.93603,1.01307,0.92638,0.76154,0.84701,0.40202,1.85614,1.35224,1.05974,0.000747152,0.000747152,0.000747152
26,293.674,1.83477,0.93154,1.0005,0.90097,0.77692,0.86473,0.40817,1.85961,1.28242,1.05992,0.00076755,0.00076755,0.00076755
27,305.465,1.80769,0.90769,1.02499,0.90501,0.79808,0.89847,0.42601,1.80497,1.16041,1.0378,0.000787156,0.000787156,0.000787156
28,316.742,1.77517,0.90653,0.9964,0.90501,0.79808,0.89847,0.42601,1.80497,1.16041,1.0378,0.00080597,0.00080597,0.00080597
29,327.59,1.7267,0.86082,1.01873,0.89279,0.825,0.91446,0.43104,1.77424,1.05299,1.03038,0.000823992,0.000823992,0.000823992
30,339.707,1.75713,0.87389,1.00052,0.88734,0.83462,0.90332,0.42318,1.79328,0.98421,1.04803,0.000841222,0.000841222,0.000841222
31,350.447,1.73971,0.84412,1.03328,0.88734,0.83462,0.90332,0.42318,1.79328,0.98421,1.04803,0.00085766,0.00085766,0.00085766
32,361.657,1.71001,0.83028,1.0183,0.89654,0.81654,0.89477,0.41499,1.82045,0.93447,1.05127,0.000873306,0.000873306,0.000873306
33,372.881,1.71575,0.82751,1.00176,0.91016,0.79878,0.89593,0.4175,1.81606,0.9041,1.04747,0.00088816,0.00088816,0.00088816
34,383.829,1.73941,0.83384,1.02045,0.91016,0.79878,0.89593,0.4175,1.81606,0.9041,1.04747,0.000902222,0.000902222,0.000902222
35,395.422,1.73875,0.84365,0.99636,0.90638,0.81346,0.91401,0.42806,1.80532,0.89269,1.04861,0.000915492,0.000915492,0.000915492
36,406.66,1.73338,0.84391,1.01066,0.9043,0.8541,0.93743,0.44943,1.75043,0.86635,1.02691,0.00092797,0.00092797,0.00092797
37,417.699,1.67631,0.82485,1.00255,0.9043,0.8541,0.93743,0.44943,1.75043,0.86635,1.02691,0.000939656,0.000939656,0.000939656
38,428.558,1.64669,0.79828,0.99537,0.92352,0.86346,0.93712,0.46104,1.69939,0.85891,1.00631,0.00095055,0.00095055,0.00095055
39,439.623,1.73326,0.85848,1.01504,0.93397,0.84808,0.92962,0.4469,1.74238,0.87084,1.01359,0.000960652,0.000960652,0.000960652
40,451.048,1.75816,0.83093,0.99414,0.93397,0.84808,0.92962,0.4469,1.74238,0.87084,1.01359,0.000969962,0.000969962,0.000969962
41,461.784,1.70791,0.81734,1.00036,0.92779,0.84003,0.92902,0.4541,1.77438,0.88412,1.02661,0.00097848,0.00097848,0.00097848
42,472.227,1.67738,0.81415,1.02307,0.91856,0.82692,0.92873,0.46425,1.71003,0.8996,1.01037,0.000986206,0.000986206,0.000986206
43,483.676,1.64662,0.78949,0.97647,0.91856,0.82692,0.92873,0.46425,1.71003,0.8996,1.01037,0.00099314,0.00099314,0.00099314
44,494.891,1.59859,0.79573,0.96524,0.91491,0.86731,0.94622,0.48031,1.65175,0.87209,0.99738,0.000999282,0.000999282,0.000999282
45,506.155,1.66289,0.79147,1.0217,0.91491,0.86731,0.94622,0.48031,1.65175,0.87209,0.99738,0.00100463,0.00100463,0.00100463
46,517.113,1.63596,0.78604,0.99162,0.92996,0.88269,0.9556,0.49417,1.60452,0.83785,0.98007,0.00100919,0.00100919,0.00100919
47,528.233,1.71098,0.82097,0.98222,0.92996,0.88269,0.9556,0.49417,1.60452,0.83785,0.98007,0.00101296,0.00101296,0.00101296
48,539.028,1.60613,0.76581,0.97491,0.93671,0.89808,0.96586,0.49787,1.60621,0.82607,0.98085,0.00101593,0.00101593,0.00101593
49,550.216,1.58943,0.773,0.95972,0.93671,0.89808,0.96586,0.49787,1.60621,0.82607,0.98085,0.00101811,0.00101811,0.00101811
50,560.997,1.62393,0.77132,1.00243,0.94778,0.91346,0.96788,0.49578,1.62527,0.79955,0.98542,0.0010195,0.0010195,0.0010195
51,571.789,1.59454,0.76863,0.99118,0.94778,0.91346,0.96788,0.49578,1.62527,0.79955,0.98542,0.00101,0.00101,0.00101
52,583.798,1.60475,0.76431,0.98895,0.95611,0.87972,0.96564,0.49124,1.63384,0.7939,0.98246,0.0009902,0.0009902,0.0009902
53,595.226,1.60268,0.7466,0.99844,0.95611,0.87972,0.96564,0.49124,1.63384,0.7939,0.98246,0.0009704,0.0009704,0.0009704
54,606.642,1.59148,0.75994,0.99595,0.94433,0.86346,0.94827,0.48774,1.62665,0.82046,0.98046,0.0009506,0.0009506,0.0009506
55,617.821,1.58057,0.74467,1.01469,0.94433,0.86346,0.94827,0.48774,1.62665,0.82046,0.98046,0.0009308,0.0009308,0.0009308
