epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.19037,3.28225,3.82703,3.80251,1.8564,6e-05,0.0012,3e-05,1e-05,0.00078,0.01677,0.0004,5e-05,3.51265,3.33477,3.77449,2.12998,2e-05,2e-05,2e-05
2,1.96222,3.24793,3.75764,3.7952,1.76061,6e-05,0.0012,3e-05,1e-05,0.00083,0.01796,0.00043,6e-05,3.50619,3.364,3.76883,2.12537,5.9406e-05,5.9406e-05,5.9406e-05
3,2.50136,3.15779,3.73636,3.7991,1.75247,6e-05,0.0012,3e-05,1e-05,0.00083,0.01796,0.00043,9e-05,3.49812,3.38847,3.76406,2.11697,9.802e-05,9.802e-05,9.802e-05
4,3.04375,3.18894,3.5559,3.83842,1.8245,0.00094,0.02036,0.00049,0.0001,0.00322,0.06946,0.00175,0.00033,2.17998,2.5102,3.72259,1.3003,0.000135842,0.000135842,0.000135842
5,3.64479,2.23478,2.79235,3.5738,1.17573,0.01733,0.37365,0.02036,0.0072,0.02017,0.43473,0.02386,0.00848,1.65293,2.07561,3.60552,1.00842,0.000172872,0.000172872,0.000172872
6,4.23025,1.91784,2.17206,3.04064,1.0048,0.02728,0.58802,0.04409,0.01834,0.03172,0.68383,0.05382,0.02235,1.43345,1.81126,3.40948,0.90687,0.00020911,0.00020911,0.00020911
7,4.82152,1.8584,1.96669,2.2764,0.94201,0.03139,0.67665,0.05046,0.02104,0.03828,0.82515,0.06695,0.03059,1.43924,1.71506,3.25124,0.89248,0.000244556,0.000244556,0.000244556
8,5.41288,1.69114,1.83893,1.66816,0.92723,0.03772,0.81317,0.28639,0.14424,0.04222,0.91018,0.29333,0.13284,1.37638,1.68757,3.07059,0.88308,0.00027921,0.00027921,0.00027921
9,6.00738,1.47999,1.7618,1.26617,0.9095,0.0395,0.8515,0.51958,0.24481,0.04294,0.92575,0.52352,0.24288,1.39509,1.81184,2.89417,0.89447,0.000313072,0.000313072,0.000313072
10,6.60513,1.42644,1.67679,1.14132,0.9075,0.03994,0.86108,0.46959,0.26,0.04406,0.9497,0.47879,0.28961,1.34573,1.67664,2.75454,0.87483,0.000346142,0.000346142,0.000346142
11,7.20037,1.45175,1.67701,1.15362,0.89905,0.04139,0.89222,0.36864,0.22279,0.04356,0.93892,0.37229,0.21973,1.33896,1.69394,2.7321,0.87411,0.00037842,0.00037842,0.00037842
12,7.77519,1.47576,1.73364,1.11615,0.89196,0.03967,0.85509,0.30914,0.17842,0.04189,0.90299,0.30683,0.1689,1.29079,1.60068,2.77598,0.87517,0.000409906,0.000409906,0.000409906
13,8.34962,1.39316,1.66853,1.05116,0.90203,0.03928,0.84671,0.28519,0.18053,0.04183,0.9018,0.28878,0.16756,1.34146,1.73123,2.7485,0.88743,0.0004406,0.0004406,0.0004406
14,8.93619,1.43812,1.60354,1.03171,0.89731,0.04072,0.87784,0.31233,0.19188,0.04233,0.91257,0.3148,0.18337,1.3651,1.68523,2.73693,0.89565,0.000470502,0.000470502,0.000470502
15,9.51318,1.3472,1.52893,0.98351,0.89437,0.04172,0.8994,0.32943,0.1648,0.04383,0.94491,0.33113,0.16645,1.30107,1.58876,2.76464,0.90164,0.000499612,0.000499612,0.000499612
16,10.0843,1.37658,1.58847,0.994,0.89393,0.04306,0.92814,0.37202,0.23198,0.04433,0.95569,0.37056,0.21343,1.2693,1.54288,2.70632,0.87871,0.00052793,0.00052793,0.00052793
17,10.6702,1.37266,1.47058,0.93662,0.895,0.04378,0.94371,0.39801,0.23155,0.04356,0.93892,0.39738,0.21016,1.25825,1.60021,2.74748,0.86809,0.000555456,0.000555456,0.000555456
18,11.245,1.33804,1.4914,0.90124,0.88688,0.04328,0.93293,0.42076,0.19794,0.04344,0.93653,0.40383,0.18359,1.38756,1.6428,2.83656,0.8981,0.00058219,0.00058219,0.00058219
19,11.8223,1.38347,1.50759,0.92137,0.89168,0.04356,0.93892,0.51328,0.31589,0.04478,0.96527,0.52093,0.29695,1.28819,1.55221,2.69568,0.86832,0.000608132,0.000608132,0.000608132
20,12.4072,1.31573,1.42088,0.8791,0.87443,0.04344,0.93653,0.42193,0.26455,0.04433,0.95569,0.41016,0.22289,1.32679,1.79881,2.69335,0.86897,0.000633282,0.000633282,0.000633282
21,12.9819,1.31323,1.46236,0.8713,0.874,0.04278,0.92216,0.45918,0.2589,0.04494,0.96886,0.44895,0.24023,1.31053,1.61988,2.68817,0.86983,0.00065764,0.00065764,0.00065764
22,13.557,1.28885,1.36783,0.83381,0.87276,0.04028,0.86826,0.58102,0.347,0.04328,0.93293,0.58899,0.35489,1.32286,1.53163,2.58877,0.8768,0.000681206,0.000681206,0.000681206
23,14.1436,1.25239,1.3383,0.8255,0.88359,0.04106,0.88503,0.50501,0.30431,0.04383,0.94491,0.50904,0.29098,1.29199,1.5133,2.576,0.87382,0.00070398,0.00070398,0.00070398
24,14.7202,1.37241,1.47418,0.84076,0.88588,0.04311,0.92934,0.4268,0.25434,0.04489,0.96766,0.40128,0.22597,1.30763,1.48774,2.61509,0.86862,0.000725962,0.000725962,0.000725962
25,15.2945,1.33614,1.39303,0.84128,0.9054,0.04333,0.93413,0.49613,0.30193,0.04511,0.97246,0.50053,0.32513,1.23543,1.36588,2.57396,0.87002,0.000747152,0.000747152,0.000747152
26,15.8717,1.31073,1.4384,0.80563,0.88479,0.04339,0.93533,0.51796,0.30136,0.04494,0.96886,0.52153,0.28883,1.25082,1.64363,2.58342,0.8804,0.00076755,0.00076755,0.00076755
27,16.4493,1.23877,1.35654,0.76844,0.87533,0.04444,0.95808,0.56485,0.28533,0.04528,0.97605,0.54303,0.23968,1.33909,1.45866,2.56451,0.89593,0.000787156,0.000787156,0.000787156
28,17.0454,1.23655,1.40174,0.77212,0.88328,0.0435,0.93772,0.5747,0.30891,0.04517,0.97365,0.59196,0.32661,1.22528,1.40214,2.52921,0.8803,0.00080597,0.00080597,0.00080597
29,17.6238,1.2342,1.39477,0.77112,0.8846,0.04,0.86228,0.47132,0.25215,0.0435,0.93772,0.48398,0.26057,1.30258,1.49786,2.63304,0.88974,0.000823992,0.000823992,0.000823992
